Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month,Total Sales,Average Profit,Total Orders,Total Quantity
B-26157,6045.00,1606.00,4,Office Supplies,Paper,COD,14-12-2023,Sierra Rios,Florida,Orlando,2023-12,,,,
B-26157,9337.00,554.00,11,Office Supplies,Pens,COD,14-12-2023,Sierra Rios,Florida,Orlando,2023-12,,,,
B-25555,4051.00,1848.00,12,Electronics,Phones,Credit Card,03-07-2023,Jessica Richardson,California,San Diego,2023-07,,,,
B-25555,4051.00,1848.00,12,Electronics,Phones,Credit Card,08-05-2021,Kimberly Warren,Ohio,Cincinnati,2021-05,,,,
B-25555,5011.00,866.00,11,Furniture,Bookcases,Credit Card,03-07-2023,Jessica Richardson,California,San Diego,2023-07,,,,
B-25555,5011.00,866.00,11,Furniture,Bookcases,Credit Card,08-05-2021,Kimberly Warren,Ohio,Cincinnati,2021-05,,,,
B-26139,3958.00,630.00,15,Furniture,Sofas,EMI,07-10-2022,Casey Garcia,Florida,Orlando,2022-10,,,,
B-26139,3132.00,963.00,1,Furniture,Tables,Debit Card,07-10-2022,Casey Garcia,Florida,Orlando,2022-10,,,,
B-25032,7784.00,2937.00,12,Office Supplies,Markers,UPI,06-08-2024,Denise Hampton,California,San Francisco,2024-08,,,,
B-25032,5591.00,1696.00,3,Office Supplies,Pens,COD,06-08-2024,Denise Hampton,California,San Francisco,2024-08,,,,
B-25032,5122.00,2413.00,12,Electronics,Electronic Games,COD,06-08-2024,Denise Hampton,California,San Francisco,2024-08,,,,
B-25730,8293.00,2632.00,8,Office Supplies,Binders,COD,05-01-2022,Justin Rodriguez,Ohio,Cleveland,2022-01,,,,
B-25730,8293.00,2632.00,8,Office Supplies,Binders,COD,17-10-2020,Ms. Emily Baxter,New York,Rochester,2020-10,,,,
B-25730,8293.00,2632.00,8,Office Supplies,Binders,COD,21-08-2023,Austin White,California,Los Angeles,2023-08,,,,
B-25730,2863.00,205.00,17,Electronics,Phones,UPI,05-01-2022,Justin Rodriguez,Ohio,Cleveland,2022-01,,,,
B-25730,2863.00,205.00,17,Electronics,Phones,UPI,17-10-2020,Ms. Emily Baxter,New York,Rochester,2020-10,,,,
B-25730,2863.00,205.00,17,Electronics,Phones,UPI,21-08-2023,Austin White,California,Los Angeles,2023-08,,,,
B-26470,3090.00,573.00,6,Furniture,Tables,EMI,27-12-2024,Morgan Montes,California,San Diego,2024-12,,,,
B-26470,3090.00,573.00,6,Furniture,Tables,EMI,18-06-2021,Christine Mosley,Ohio,Cincinnati,2021-06,,,,
B-26470,3090.00,573.00,6,Furniture,Tables,EMI,27-05-2023,Ashley Rodriguez,Texas,Austin,2023-05,,,,
B-26470,3090.00,573.00,6,Furniture,Tables,EMI,12-10-2021,Elizabeth King,Texas,Dallas,2021-10,,,,
B-26470,9683.00,1014.00,5,Electronics,Printers,UPI,27-12-2024,Morgan Montes,California,San Diego,2024-12,,,,
B-26470,9683.00,1014.00,5,Electronics,Printers,UPI,18-06-2021,Christine Mosley,Ohio,Cincinnati,2021-06,,,,
B-26470,9683.00,1014.00,5,Electronics,Printers,UPI,27-05-2023,Ashley Rodriguez,Texas,Austin,2023-05,,,,
B-26470,9683.00,1014.00,5,Electronics,Printers,UPI,12-10-2021,Elizabeth King,Texas,Dallas,2021-10,,,,
B-25988,2463.00,648.00,18,Furniture,Tables,EMI,19-09-2022,Connie Holmes,Ohio,Cincinnati,2022-09,,,,
B-25568,7811.00,1538.00,12,Furniture,Sofas,COD,25-03-2022,Melissa Peck,Florida,Miami,2022-03,,,,
B-26730,6139.00,451.00,10,Furniture,Tables,Debit Card,26-02-2022,David Smith,Florida,Orlando,2022-02,,,,
B-26730,6139.00,451.00,10,Furniture,Tables,Debit Card,05-04-2021,Jacqueline Harris,Texas,Houston,2021-04,,,,
B-26730,8636.00,3192.00,3,Furniture,Chairs,COD,26-02-2022,David Smith,Florida,Orlando,2022-02,,,,
B-26730,8636.00,3192.00,3,Furniture,Chairs,COD,05-04-2021,Jacqueline Harris,Texas,Houston,2021-04,,,,
B-26730,4439.00,1712.00,19,Furniture,Sofas,Credit Card,26-02-2022,David Smith,Florida,Orlando,2022-02,,,,
B-26730,4439.00,1712.00,19,Furniture,Sofas,Credit Card,05-04-2021,Jacqueline Harris,Texas,Houston,2021-04,,,,
B-25372,1016.00,172.00,20,Furniture,Tables,Debit Card,16-11-2020,Heather Jenkins,New York,Buffalo,2020-11,,,,
B-25372,5768.00,2059.00,14,Furniture,Tables,UPI,16-11-2020,Heather Jenkins,New York,Buffalo,2020-11,,,,
B-25372,1217.00,151.00,3,Furniture,Tables,Credit Card,16-11-2020,Heather Jenkins,New York,Buffalo,2020-11,,,,
B-26026,953.00,93.00,2,Office Supplies,Paper,Debit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,,
B-26026,953.00,93.00,2,Office Supplies,Paper,Debit Card,06-04-2023,Katherine Harris,California,Los Angeles,2023-04,,,,
B-26026,7355.00,1034.00,3,Furniture,Sofas,COD,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,,
B-26026,7355.00,1034.00,3,Furniture,Sofas,COD,06-04-2023,Katherine Harris,California,Los Angeles,2023-04,,,,
B-26026,1843.00,248.00,3,Electronics,Phones,Credit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,,
B-26026,1843.00,248.00,3,Electronics,Phones,Credit Card,06-04-2023,Katherine Harris,California,Los Angeles,2023-04,,,,
B-26026,1603.00,361.00,10,Office Supplies,Pens,Debit Card,12-12-2024,Kelsey Castaneda,Ohio,Cleveland,2024-12,,,,
B-26026,1603.00,361.00,10,Office Supplies,Pens,Debit Card,06-04-2023,Katherine Harris,California,Los Angeles,2023-04,,,,
B-25295,2025.00,528.00,1,Office Supplies,Pens,Credit Card,28-01-2024,Paul Rogers,Florida,Miami,2024-01,,,,
B-25295,6800.00,167.00,16,Office Supplies,Binders,EMI,28-01-2024,Paul Rogers,Florida,Miami,2024-01,,,,
B-26121,1126.00,55.00,1,Furniture,Bookcases,UPI,16-01-2022,Jon Banks,Florida,Tampa,2022-01,,,,
B-26121,1126.00,55.00,1,Furniture,Bookcases,UPI,16-12-2022,Michelle Williams,New York,Buffalo,2022-12,,,,
B-25560,7533.00,3508.00,12,Furniture,Tables,UPI,13-07-2023,Andrew Allen,California,San Diego,2023-07,,,,
B-25560,4734.00,1178.00,16,Office Supplies,Binders,Credit Card,13-07-2023,Andrew Allen,California,San Diego,2023-07,,,,
B-25560,4074.00,1175.00,6,Electronics,Electronic Games,Debit Card,13-07-2023,Andrew Allen,California,San Diego,2023-07,,,,
B-25560,2334.00,484.00,3,Furniture,Sofas,Credit Card,13-07-2023,Andrew Allen,California,San Diego,2023-07,,,,
B-26076,2750.00,1239.00,11,Electronics,Phones,Debit Card,10-03-2025,Vanessa Bauer,New York,Buffalo,2025-03,,,,
B-26076,2750.00,1239.00,11,Electronics,Phones,Debit Card,24-09-2024,Sean Smith,Ohio,Cleveland,2024-09,,,,
B-26076,8639.00,3104.00,19,Office Supplies,Pens,EMI,10-03-2025,Vanessa Bauer,New York,Buffalo,2025-03,,,,
B-26076,8639.00,3104.00,19,Office Supplies,Pens,EMI,24-09-2024,Sean Smith,Ohio,Cleveland,2024-09,,,,
B-25872,3808.00,1192.00,4,Office Supplies,Markers,UPI,13-04-2020,Shelly Sweeney,New York,New York City,2020-04,,,,
B-25872,2588.00,705.00,16,Office Supplies,Pens,Credit Card,13-04-2020,Shelly Sweeney,New York,New York City,2020-04,,,,
B-26185,1591.00,727.00,5,Electronics,Electronic Games,Credit Card,27-06-2022,Emily Gill,Illinois,Springfield,2022-06,,,,
B-26185,1591.00,727.00,5,Electronics,Electronic Games,Credit Card,14-03-2021,Brian Patrick,Florida,Tampa,2021-03,,,,
B-26185,1591.00,727.00,5,Electronics,Electronic Games,Credit Card,23-02-2022,Dr. Sarah Booth,Ohio,Cincinnati,2022-02,,,,
B-26259,1757.00,622.00,10,Furniture,Chairs,UPI,29-03-2022,Douglas Mcfarland,Ohio,Cleveland,2022-03,,,,
B-26259,1757.00,622.00,10,Furniture,Chairs,UPI,20-11-2022,Kayla Ross,Illinois,Peoria,2022-11,,,,
B-25142,6940.00,253.00,15,Furniture,Bookcases,Debit Card,12-11-2021,Marc Strickland,Florida,Orlando,2021-11,,,,
B-25142,5105.00,465.00,5,Electronics,Printers,UPI,12-11-2021,Marc Strickland,Florida,Orlando,2021-11,,,,
B-25326,5578.00,277.00,16,Furniture,Tables,COD,17-08-2021,Charlene Brown,Florida,Miami,2021-08,,,,
B-25326,5578.00,277.00,16,Furniture,Tables,COD,16-05-2022,Charles Smith,Ohio,Columbus,2022-05,,,,
B-26795,5224.00,1958.00,16,Furniture,Chairs,Credit Card,16-07-2023,Karen Townsend,Texas,Houston,2023-07,,,,
B-26795,5002.00,1801.00,11,Office Supplies,Markers,Credit Card,16-07-2023,Karen Townsend,Texas,Houston,2023-07,,,,
B-26795,7380.00,1673.00,18,Office Supplies,Markers,COD,16-07-2023,Karen Townsend,Texas,Houston,2023-07,,,,
B-25660,7595.00,2873.00,4,Furniture,Chairs,Debit Card,18-08-2020,Steven Cox,California,Los Angeles,2020-08,,,,
B-25660,7595.00,2873.00,4,Furniture,Chairs,Debit Card,19-04-2022,Cynthia Rodriguez,New York,Rochester,2022-04,,,,
B-25410,1954.00,294.00,7,Furniture,Sofas,Debit Card,23-12-2022,Jessica Baker,Texas,Austin,2022-12,,,,
B-25690,523.00,95.00,20,Electronics,Printers,EMI,07-12-2024,Mark Blackburn,Texas,Dallas,2024-12,,,,
B-26464,5704.00,714.00,13,Electronics,Laptops,EMI,03-02-2022,Zachary Perez,Texas,Austin,2022-02,,,,
B-26464,5704.00,714.00,13,Electronics,Laptops,EMI,12-12-2021,Brian Green,California,San Diego,2021-12,,,,
B-26464,8797.00,1010.00,8,Furniture,Tables,UPI,03-02-2022,Zachary Perez,Texas,Austin,2022-02,,,,
B-26464,8797.00,1010.00,8,Furniture,Tables,UPI,12-12-2021,Brian Green,California,San Diego,2021-12,,,,
B-26464,9236.00,2899.00,5,Electronics,Laptops,Debit Card,03-02-2022,Zachary Perez,Texas,Austin,2022-02,,,,
B-26464,9236.00,2899.00,5,Electronics,Laptops,Debit Card,12-12-2021,Brian Green,California,San Diego,2021-12,,,,
B-26454,9109.00,586.00,17,Furniture,Sofas,EMI,17-05-2020,Becky Leach,Florida,Miami,2020-05,,,,
B-26742,4358.00,526.00,19,Electronics,Phones,Credit Card,05-12-2022,Bryan Russell,Texas,Dallas,2022-12,,,,
B-26742,4358.00,526.00,19,Electronics,Phones,Credit Card,17-09-2024,Tony Maddox,California,San Francisco,2024-09,,,,
B-26742,6459.00,825.00,8,Electronics,Phones,Credit Card,05-12-2022,Bryan Russell,Texas,Dallas,2022-12,,,,
B-26742,6459.00,825.00,8,Electronics,Phones,Credit Card,17-09-2024,Tony Maddox,California,San Francisco,2024-09,,,,
B-25510,2478.00,92.00,12,Furniture,Bookcases,COD,08-05-2023,Jason Randolph,California,San Francisco,2023-05,,,,
B-25510,2478.00,92.00,12,Furniture,Bookcases,COD,03-03-2021,Laura Andrews,New York,New York City,2021-03,,,,
B-25510,2478.00,92.00,12,Furniture,Bookcases,COD,18-03-2021,Mrs. Stephanie Hooper,California,San Francisco,2021-03,,,,
B-25510,2478.00,92.00,12,Furniture,Bookcases,COD,24-04-2023,Anthony Evans,Ohio,Cleveland,2023-04,,,,
B-25936,9992.00,3696.00,20,Office Supplies,Pens,Debit Card,09-10-2021,Patrick Williams,New York,Rochester,2021-10,,,,
B-25936,9992.00,3696.00,20,Office Supplies,Pens,Debit Card,15-04-2022,Susan Burke,Texas,Austin,2022-04,,,,
B-25936,9992.00,3696.00,20,Office Supplies,Pens,Debit Card,29-08-2022,Brent Hernandez,New York,Rochester,2022-08,,,,
B-25936,9619.00,3420.00,7,Office Supplies,Binders,UPI,09-10-2021,Patrick Williams,New York,Rochester,2021-10,,,,
B-25936,9619.00,3420.00,7,Office Supplies,Binders,UPI,15-04-2022,Susan Burke,Texas,Austin,2022-04,,,,
B-25936,9619.00,3420.00,7,Office Supplies,Binders,UPI,29-08-2022,Brent Hernandez,New York,Rochester,2022-08,,,,
B-25884,9538.00,3158.00,20,Electronics,Printers,Credit Card,04-09-2024,Sean Elliott,California,San Francisco,2024-09,,,,
B-25884,9538.00,3158.00,20,Electronics,Printers,Credit Card,18-05-2021,Wanda West,Ohio,Cleveland,2021-05,,,,
B-25884,9035.00,1227.00,14,Furniture,Chairs,EMI,04-09-2024,Sean Elliott,California,San Francisco,2024-09,,,,
B-25884,9035.00,1227.00,14,Furniture,Chairs,EMI,18-05-2021,Wanda West,Ohio,Cleveland,2021-05,,,,
B-26287,2684.00,670.00,2,Office Supplies,Paper,COD,02-07-2024,Renee Solomon,Florida,Tampa,2024-07,,,,
B-26287,822.00,147.00,5,Furniture,Sofas,Credit Card,02-07-2024,Renee Solomon,Florida,Tampa,2024-07,,,,
B-26287,9730.00,2341.00,2,Furniture,Chairs,EMI,02-07-2024,Renee Solomon,Florida,Tampa,2024-07,,,,
B-26287,2483.00,236.00,2,Electronics,Electronic Games,COD,02-07-2024,Renee Solomon,Florida,Tampa,2024-07,,,,
B-26564,1297.00,600.00,7,Office Supplies,Binders,Credit Card,16-02-2024,Daryl Miles,Florida,Orlando,2024-02,,,,
B-26564,7909.00,1942.00,19,Electronics,Phones,COD,16-02-2024,Daryl Miles,Florida,Orlando,2024-02,,,,
B-26293,9768.00,4518.00,8,Furniture,Tables,Credit Card,26-11-2021,Michael Hunt,Texas,Dallas,2021-11,,,,
B-26293,4968.00,934.00,5,Furniture,Sofas,Debit Card,26-11-2021,Michael Hunt,Texas,Dallas,2021-11,,,,
B-26293,1731.00,149.00,4,Electronics,Laptops,EMI,26-11-2021,Michael Hunt,Texas,Dallas,2021-11,,,,
B-25915,3433.00,1169.00,10,Office Supplies,Binders,COD,01-02-2024,Adam Clark,California,San Francisco,2024-02,,,,
B-25915,3433.00,1169.00,10,Office Supplies,Binders,COD,09-09-2021,Amy Olsen,Illinois,Springfield,2021-09,,,,
B-25915,3433.00,1169.00,10,Office Supplies,Binders,COD,08-09-2021,Stacey Miller,California,San Diego,2021-09,,,,
B-25915,3887.00,1490.00,1,Office Supplies,Binders,Debit Card,01-02-2024,Adam Clark,California,San Francisco,2024-02,,,,
B-25915,3887.00,1490.00,1,Office Supplies,Binders,Debit Card,09-09-2021,Amy Olsen,Illinois,Springfield,2021-09,,,,
B-25915,3887.00,1490.00,1,Office Supplies,Binders,Debit Card,08-09-2021,Stacey Miller,California,San Diego,2021-09,,,,
B-26496,1801.00,641.00,20,Office Supplies,Markers,Credit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07,,,,
B-26496,5301.00,817.00,10,Furniture,Tables,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07,,,,
B-26496,1166.00,520.00,12,Office Supplies,Paper,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07,,,,
B-26496,3196.00,1411.00,15,Office Supplies,Paper,Debit Card,09-07-2024,Daniel Mosley,California,Los Angeles,2024-07,,,,
B-25856,3428.00,350.00,1,Furniture,Chairs,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,2023-02,,,,
B-25856,7223.00,2433.00,12,Office Supplies,Binders,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,2023-02,,,,
B-25856,3731.00,647.00,1,Office Supplies,Pens,Credit Card,28-02-2023,Monica Gibson,Illinois,Springfield,2023-02,,,,
B-26899,8903.00,4401.00,18,Office Supplies,Pens,Credit Card,08-08-2022,Christopher Jordan,Ohio,Columbus,2022-08,,,,
B-25916,6009.00,2107.00,7,Electronics,Phones,UPI,07-12-2022,Christina Davis,Illinois,Chicago,2022-12,,,,
B-25916,6009.00,2107.00,7,Electronics,Phones,UPI,29-04-2024,Claudia Curry,Texas,Austin,2024-04,,,,
B-25916,2858.00,230.00,3,Furniture,Tables,Credit Card,07-12-2022,Christina Davis,Illinois,Chicago,2022-12,,,,
B-25916,2858.00,230.00,3,Furniture,Tables,Credit Card,29-04-2024,Claudia Curry,Texas,Austin,2024-04,,,,
B-25916,8175.00,525.00,7,Furniture,Sofas,Credit Card,07-12-2022,Christina Davis,Illinois,Chicago,2022-12,,,,
B-25916,8175.00,525.00,7,Furniture,Sofas,Credit Card,29-04-2024,Claudia Curry,Texas,Austin,2024-04,,,,
B-25916,5846.00,586.00,18,Furniture,Sofas,UPI,07-12-2022,Christina Davis,Illinois,Chicago,2022-12,,,,
B-25916,5846.00,586.00,18,Furniture,Sofas,UPI,29-04-2024,Claudia Curry,Texas,Austin,2024-04,,,,
B-26428,706.00,197.00,11,Electronics,Laptops,Credit Card,02-01-2022,Brandon Anderson,Texas,Austin,2022-01,,,,
B-26332,9835.00,2571.00,16,Furniture,Tables,COD,10-06-2022,George Foster,Texas,Dallas,2022-06,,,,
B-26332,9835.00,2571.00,16,Furniture,Tables,COD,16-11-2021,Nicholas Anderson,Florida,Orlando,2021-11,,,,
B-26332,9835.00,2571.00,16,Furniture,Tables,COD,17-08-2022,Emily Ellison,California,Los Angeles,2022-08,,,,
B-26332,9691.00,3056.00,13,Office Supplies,Markers,Credit Card,10-06-2022,George Foster,Texas,Dallas,2022-06,,,,
B-26332,9691.00,3056.00,13,Office Supplies,Markers,Credit Card,16-11-2021,Nicholas Anderson,Florida,Orlando,2021-11,,,,
B-26332,9691.00,3056.00,13,Office Supplies,Markers,Credit Card,17-08-2022,Emily Ellison,California,Los Angeles,2022-08,,,,
B-26332,7826.00,1221.00,14,Furniture,Bookcases,UPI,10-06-2022,George Foster,Texas,Dallas,2022-06,,,,
B-26332,7826.00,1221.00,14,Furniture,Bookcases,UPI,16-11-2021,Nicholas Anderson,Florida,Orlando,2021-11,,,,
B-26332,7826.00,1221.00,14,Furniture,Bookcases,UPI,17-08-2022,Emily Ellison,California,Los Angeles,2022-08,,,,
B-25303,770.00,241.00,11,Furniture,Sofas,COD,23-11-2021,Darren Perez,Texas,Austin,2021-11,,,,
B-25303,770.00,241.00,11,Furniture,Sofas,COD,04-03-2023,Michelle Hunter,Ohio,Cincinnati,2023-03,,,,
B-26507,9895.00,1598.00,20,Furniture,Bookcases,COD,16-12-2023,Janet Guerrero,New York,Rochester,2023-12,,,,
B-25983,6517.00,1581.00,10,Office Supplies,Paper,Debit Card,19-05-2024,Jeffrey Kline,Florida,Miami,2024-05,,,,
B-25983,6517.00,1581.00,10,Office Supplies,Paper,Debit Card,14-05-2020,Ryan Bullock,Florida,Tampa,2020-05,,,,
B-25983,1166.00,349.00,11,Furniture,Tables,Credit Card,19-05-2024,Jeffrey Kline,Florida,Miami,2024-05,,,,
B-25983,1166.00,349.00,11,Furniture,Tables,Credit Card,14-05-2020,Ryan Bullock,Florida,Tampa,2020-05,,,,
B-25156,9820.00,793.00,16,Furniture,Chairs,Credit Card,29-08-2021,Tom Lawson,New York,Buffalo,2021-08,,,,
B-26759,8563.00,2624.00,8,Office Supplies,Binders,COD,10-11-2024,Rebecca Smith,Texas,Dallas,2024-11,,,,
B-26759,4441.00,281.00,20,Electronics,Printers,COD,10-11-2024,Rebecca Smith,Texas,Dallas,2024-11,,,,
B-26244,7340.00,2271.00,8,Office Supplies,Paper,EMI,05-12-2021,William Welch,Florida,Orlando,2021-12,,,,
B-26244,5442.00,1610.00,1,Electronics,Phones,EMI,05-12-2021,William Welch,Florida,Orlando,2021-12,,,,
B-26365,1895.00,391.00,14,Furniture,Tables,UPI,05-07-2024,Mr. Curtis Bailey,Florida,Tampa,2024-07,,,,
B-26365,5323.00,322.00,13,Office Supplies,Binders,COD,05-07-2024,Mr. Curtis Bailey,Florida,Tampa,2024-07,,,,
B-26212,8850.00,279.00,13,Office Supplies,Markers,Debit Card,25-06-2024,Janet Carlson,Florida,Miami,2024-06,,,,
B-26212,8667.00,1266.00,6,Office Supplies,Paper,Debit Card,25-06-2024,Janet Carlson,Florida,Miami,2024-06,,,,
B-25042,6903.00,105.00,1,Furniture,Tables,COD,31-05-2024,Spencer Spears,Illinois,Chicago,2024-05,,,,
B-25042,8793.00,3010.00,7,Office Supplies,Pens,COD,31-05-2024,Spencer Spears,Illinois,Chicago,2024-05,,,,
B-25901,9883.00,4812.00,16,Office Supplies,Paper,UPI,20-10-2020,Jeffrey Middleton,New York,Buffalo,2020-10,,,,
B-25901,9883.00,4812.00,16,Office Supplies,Paper,UPI,11-08-2022,Veronica Kelley,Florida,Orlando,2022-08,,,,
B-25901,9883.00,4812.00,16,Office Supplies,Paper,UPI,17-10-2021,Leslie Bean,Illinois,Springfield,2021-10,,,,
B-25901,5210.00,1185.00,7,Office Supplies,Paper,UPI,20-10-2020,Jeffrey Middleton,New York,Buffalo,2020-10,,,,
B-25901,5210.00,1185.00,7,Office Supplies,Paper,UPI,11-08-2022,Veronica Kelley,Florida,Orlando,2022-08,,,,
B-25901,5210.00,1185.00,7,Office Supplies,Paper,UPI,17-10-2021,Leslie Bean,Illinois,Springfield,2021-10,,,,
B-26747,3574.00,851.00,4,Electronics,Printers,Credit Card,23-02-2022,Amy Wilson,California,Los Angeles,2022-02,,,,
B-26747,576.00,76.00,13,Furniture,Sofas,UPI,23-02-2022,Amy Wilson,California,Los Angeles,2022-02,,,,
B-26698,1860.00,457.00,13,Electronics,Printers,EMI,20-09-2023,Susan Ramirez,Ohio,Cleveland,2023-09,,,,
B-25841,782.00,374.00,8,Office Supplies,Pens,EMI,19-01-2021,Jacob Meyer,Illinois,Peoria,2021-01,,,,
B-25841,4371.00,1852.00,1,Electronics,Laptops,UPI,19-01-2021,Jacob Meyer,Illinois,Peoria,2021-01,,,,
B-26032,8346.00,1176.00,1,Electronics,Phones,COD,21-08-2020,Scott Lewis,Texas,Houston,2020-08,,,,
B-26032,8346.00,1176.00,1,Electronics,Phones,COD,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04,,,,
B-26032,8346.00,1176.00,1,Electronics,Phones,COD,24-12-2023,Anna Ferguson,California,San Francisco,2023-12,,,,
B-26032,6218.00,1125.00,5,Furniture,Tables,Debit Card,21-08-2020,Scott Lewis,Texas,Houston,2020-08,,,,
B-26032,6218.00,1125.00,5,Furniture,Tables,Debit Card,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04,,,,
B-26032,6218.00,1125.00,5,Furniture,Tables,Debit Card,24-12-2023,Anna Ferguson,California,San Francisco,2023-12,,,,
B-26032,5167.00,253.00,14,Electronics,Printers,Credit Card,21-08-2020,Scott Lewis,Texas,Houston,2020-08,,,,
B-26032,5167.00,253.00,14,Electronics,Printers,Credit Card,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04,,,,
B-26032,5167.00,253.00,14,Electronics,Printers,Credit Card,24-12-2023,Anna Ferguson,California,San Francisco,2023-12,,,,
B-26032,2799.00,1239.00,5,Furniture,Sofas,Debit Card,21-08-2020,Scott Lewis,Texas,Houston,2020-08,,,,
B-26032,2799.00,1239.00,5,Furniture,Sofas,Debit Card,17-04-2023,Eric Griffith,Illinois,Chicago,2023-04,,,,
B-26032,2799.00,1239.00,5,Furniture,Sofas,Debit Card,24-12-2023,Anna Ferguson,California,San Francisco,2023-12,,,,
B-25171,3234.00,1029.00,20,Office Supplies,Markers,Credit Card,20-03-2022,David Figueroa,Florida,Miami,2022-03,,,,
B-26939,4920.00,775.00,12,Furniture,Tables,Debit Card,12-08-2021,Theresa Medina,Illinois,Springfield,2021-08,,,,
